Species,elevation,soil_type,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,sepal_to_petal_length_ratio,sepal_to_petal_width_ratio,sepal_petal_length_diff,sepal_petal_width_diff,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2,sepal_area_sqrt,petal_area_sqrt,area_ratios
setosa,103.9,sandy,5.17,3.05,1.57,0.29,15.7685,0.4553,1.6950819672131148,5.413793103448277,3.2929936305732483,10.517241379310343,3.6,2.76,4.64,20.97,55.58,3.970957063479785,0.6747592163134936,34.63320887327037
virginica,266.8,sandy,6.37,2.26,5.84,1.37,14.3962,8.0008,2.8185840707964607,4.2627737226277365,1.0907534246575343,1.64963503649635,0.5300000000000002,0.8899999999999997,12.43,7.23,61.09,3.7942324652029424,2.82856854256707,1.7993450654934504
virginica,88.1,clay,6.28,2.88,6.17,2.38,18.0864,14.6846,2.180555555555556,2.592436974789916,1.0178282009724473,1.2100840336134453,0.1100000000000003,0.5,16.04,6.73,65.88,4.252810835200644,3.832049060228744,1.2316576549582556
setosa,166.7,clay,4.54,3.63,1.35,0.25,16.4802,0.3375,1.2506887052341598,5.4,3.3629629629629627,14.52,3.19,3.38,4.61,20.87,45.98,4.059581259194106,0.5809475019311126,48.83022222222222
virginica,51.8,clay,7.3,3.96,5.84,1.9,28.908,11.096,1.8434343434343436,3.073684210526316,1.25,2.0842105263157897,1.46,2.06,9.65,10.34,64.66,5.376616036132765,3.331065895475501,2.6052631578947367
setosa,280.0,loamy,4.84,4.07,1.9,0.4,19.6988,0.76,1.189189189189189,4.749999999999999,2.5473684210526315,10.175,2.94,3.67,6.07,19.29,41.52,4.438333020403044,0.8717797887081347,25.91947368421053
virginica,286.9,clay,5.64,3.03,5.7,2.13,17.089199999999998,12.141,1.8613861386138613,2.676056338028169,0.9894736842105264,1.4225352112676055,-0.0600000000000005,0.8999999999999999,10.71,10.26,63.99,4.133908562123744,3.484393777976307,1.407561156412157
setosa,150.2,clay,5.18,3.11,1.56,0.33,16.1098,0.5148,1.6655948553054662,4.727272727272728,3.3205128205128203,9.424242424242424,3.62,2.78,5.37,22.1,59.84,4.0137015334974775,0.717495644586084,31.29331779331779
virginica,246.0,loamy,7.13,2.54,4.85,1.73,18.1102,8.3905,2.807086614173228,2.803468208092485,1.4701030927835053,1.4682080924855492,2.28,0.81,10.48,9.72,79.35,4.25560806466009,2.8966359798911565,2.1584172576127765
versicolor,54.9,loamy,6.2,2.92,4.89,1.36,18.104,6.6504,2.1232876712328768,3.5955882352941173,1.2678936605316975,2.147058823529412,1.3100000000000005,1.5599999999999998,7.6,15.88,52.27,4.254879551761718,2.578836947152728,2.722242271141585
virginica,69.8,loamy,7.0,3.24,6.41,2.31,22.68,14.8071,2.1604938271604937,2.774891774891775,1.0920436817472698,1.4025974025974026,0.5899999999999999,0.9300000000000002,13.54,12.22,74.42,4.762352359916263,3.847999480249445,1.5316976315416253
versicolor,69.5,sandy,5.85,2.44,5.1,1.23,14.274,6.273,2.3975409836065573,4.146341463414634,1.1470588235294117,1.983739837398374,0.75,1.21,8.27,13.44,55.14,3.77809475794348,2.5045957757690163,2.2754662840746054
virginica,200.4,loamy,6.68,3.34,5.86,1.94,22.3112,11.3684,2.0,3.0206185567010317,1.1399317406143343,1.7216494845360824,0.8199999999999994,1.4,11.07,6.86,77.92,4.723473298326137,3.371705799739948,1.962562893634988
versicolor,251.9,clay,5.61,2.47,3.75,1.67,13.856700000000002,6.262499999999999,2.2712550607287447,2.245508982035928,1.496,1.479041916167665,1.8600000000000003,0.8000000000000003,6.34,15.46,61.13,3.7224588647827934,2.50249875124844,2.2126467065868267
