,epoch,D_loss,G_loss,MI,SepalLengthCm_D_ks,SepalWidthCm_D_ks,PetalLengthCm_D_ks,PetalWidthCm_D_ks,SepalLengthCm_p_value,SepalWidthCm_p_value,PetalLengthCm_p_value,PetalWidthCm_p_value,time,Corr/code0-SepalLengthCm,Corr/code0-SepalWidthCm,Corr/code0-PetalLengthCm,Corr/code0-PetalWidthCm,Corr/code1-SepalLengthCm,Corr/code1-SepalWidthCm,Corr/code1-PetalLengthCm,Corr/code1-PetalWidthCm
0,1,0.6795004031487873,-0.6855940467544964,-3.609882293002946,0.9155555555555556,0.4088839285714286,0.5921726190476191,0.41665178571428574,0.0,8.007908012697765e-68,1.307444543196713e-146,1.747503209030183e-70,245,0.018019033377179514,0.3807486318808317,0.383526763444514,-0.29647737625025383,0.06026016114264422,-0.19600647419907524,-0.2529273084650139,0.10742325046821746
0,2,0.6484975846750396,-0.6304975332958358,-0.15117669278489693,0.7044246031746032,0.4155357142857143,0.36333333333333334,0.5444444444444444,1.5106947440175115e-214,4.262072164473689e-70,2.6121230392298975e-53,1.4833629420835514e-122,436,0.013658400253154663,0.23630971673586884,0.18824218375115426,-0.1918938865710088,0.014748598974774072,-0.13232235309222679,-0.12083371067758826,0.02807284843737989
0,3,0.6138578036001751,-0.6057036444544792,-0.05947538797876665,0.3744146825396825,0.6599553571428571,0.6044345238095238,0.505530753968254,1.1359916228155303e-56,1.3962781726199652e-185,3.312191906437252e-153,6.5284400921988335e-105,628,0.0003957226489691131,0.29034463846788533,0.28273575176089427,-0.09399744500421965,0.0180746790028571,-0.18637044721668672,-0.13269275223561935,-0.037238861671711684
0,4,0.6085880877716201,-0.5995349138975143,-0.022078916763088534,0.6055158730158731,0.31328869047619046,0.4365873015873016,0.46549603174603177,8.155293600446156e-154,1.6230734253644075e-39,1.6471068848480734e-77,2.002151232658692e-88,868,-0.04534641307979123,0.014856965745673691,0.1756431678515619,-0.11959538978667397,0.038029113539788696,0.012221534682028868,-0.1410675203444963,-0.03866689692514143
0,5,0.525136877915689,-0.5409793215138572,-0.011653375545782703,0.8577232142857143,0.7599553571428571,0.474375,0.7177579365079365,0.0,3.8831966138106807e-255,6.416461934800521e-92,8.064835482543689e-224,1075,-0.36966419970547004,-0.20302123738262914,0.3714097392128223,-0.4912667274446499,-0.055997657851504616,-0.11799796443642908,-0.09713336632426399,0.12441399881155774
0,6,0.3103740114186491,-0.3185391942305224,-0.005270127073994705,0.7776488095238095,0.5720287698412698,0.6376984126984127,0.5344345238095238,2.7518465326255274e-269,3.339150485621034e-136,3.805424714546075e-172,7.462130800788664e-118,12534,-0.277425246051264,-0.14391014871567873,0.6425617420389019,-0.23644182867548733,-0.06405212643032504,-0.07107108337314864,-0.12168360246065708,0.024226143982625035
0,7,0.28053791022726465,-0.2324928231537342,-0.0030699072272649835,0.3899751984126984,0.33878968253968256,0.4633333333333333,0.47888888888888886,1.431274945919262e-61,2.7990719250367833e-46,1.167418012756595e-87,7.907295138963055e-94,12734,-0.08712287469005137,-0.11179196356233906,0.47333832616153176,-0.2840286464369048,-0.009878756900927637,-0.068112900991343,-0.16630498358238738,0.13872224650602413
0,8,0.40265289161886486,-0.33865850285759996,-0.002255510538816452,0.5743650793650794,0.36319444444444443,0.37555555555555553,0.6321974206349207,2.4570336078052157e-137,2.8765120693914477e-53,5.0970770093654575e-57,6.857439786379697e-169,12986,-0.15647380297854296,-0.1176946353336452,0.5153617493120162,-0.3618531040183362,0.01949875444504193,-0.01996134887771646,-0.17924474420452124,0.20449207801267685
0,9,0.2815136869571039,-0.25280933108712944,-0.0006014551701290267,0.783328373015873,0.4744047619047619,0.3477777777777778,0.6777777777777778,7.785747601243273e-274,5.702225331500339e-92,8.803643474652145e-49,8.031902456222831e-197,13205,-0.5059765972748688,-0.2938532008845831,0.4997145565716173,-0.4757021978299204,0.09334675831218078,0.030046885196764146,-0.14251223990762102,0.27534364506475445
0,10,0.3086207250931433,-0.2619543110153505,-0.00015079313223915442,0.6621875,0.23555555555555555,0.3622222222222222,0.5398363095238096,5.811881369773268e-187,2.355957488581831e-22,5.592088436150362e-53,2.0766572203212126e-120,13407,-0.2238827385882436,-0.22604003711548792,0.30423437782973317,-0.19885657803558401,0.06803537542453916,0.041283483085612804,-0.09918499412315897,0.14196600274595383
