,epoch,D_loss,G_loss,MI,SepalLengthCm_D_ks,SepalWidthCm_D_ks,PetalLengthCm_D_ks,PetalWidthCm_D_ks,SepalLengthCm_p_value,SepalWidthCm_p_value,PetalLengthCm_p_value,PetalWidthCm_p_value,time,Corr/code0-SepalLengthCm,Corr/code0-SepalWidthCm,Corr/code0-PetalLengthCm,Corr/code0-PetalWidthCm,Corr/code1-SepalLengthCm,Corr/code1-SepalWidthCm,Corr/code1-PetalLengthCm,Corr/code1-PetalWidthCm
0,1,0.6881361678242683,-0.6911819406918117,0.01563558541238308,0.07824404761904762,0.1294295634920635,0.25419146825396827,0.287609126984127,0.007577679207295205,4.971397753254198e-07,4.9120608470202403e-26,2.6693464360588704e-33,35801,0.409254693601143,-0.039499313927728485,0.29063961638481167,0.21209403895635298,0.2102153436083366,-0.014950470304011735,0.06963864656688083,-0.18635006444962893
0,2,0.6774855383804866,-0.6916057563253811,0.13152024349463837,0.11870039682539682,0.2265376984126984,0.20970734126984128,0.19492559523809525,5.580781195352399e-06,1.032840091352575e-20,8.351035945495166e-18,2.045597736056064e-15,91872,0.606538850232531,-0.42751861108324585,0.4915889070934073,0.6554749868816809,0.23077991272213488,0.050737740340904655,-0.07492288883592095,-0.01424420941778943
0,3,0.6876742190548352,-0.7086629005415099,0.34022011182137896,0.07052083333333334,0.22175099206349205,0.23072420634920635,0.16229166666666667,0.021438273673292655,7.274796862488326e-20,1.7311456251316786e-21,8.508924943863595e-11,145058,0.5934972907983664,-0.550733532217238,0.6788656402042259,0.8687432896218464,0.13950808796337855,0.026848131157716233,-0.0874799389513161,-0.11902091027276197
0,4,0.6836692893079349,-0.7038936614990234,0.3998755615736757,0.09301587301587301,0.051001984126984125,0.27296130952380954,0.15917162698412698,0.0007666965645687933,0.1841383554684148,5.512209851308362e-30,2.0924277263624155e-10,200224,0.618043641473753,-0.4532774338288411,0.6933386173004391,0.7790567095953207,0.04674188742593115,-0.032797556092987956,-0.06096825451136883,0.051269844452366785
0,5,0.6796900140387672,-0.6887722856232098,0.4944929407377328,0.07815972222222223,0.0527827380952381,0.1994345238095238,0.21511904761904763,0.0076682985873582155,0.1555629165024129,3.985400919663985e-16,1.0222265419910571e-18,258647,0.6963756712099001,-0.5674693902716769,0.8329248997321036,0.805623919346904,-0.005170799143204343,0.07031087575063653,-0.14776532103265558,-0.06880319873698434
0,6,0.6884358301758766,-0.7301556425435203,0.48079473179365906,0.07404265873015874,0.10518849206349207,0.23389880952380954,0.19476190476190477,0.01352082544566766,8.631492833805362e-05,4.7287271455901435e-22,2.247618473288078e-15,319786,0.7507868528951858,-0.2755527444676769,0.7729588826241622,0.8028134581205112,0.05578948021522874,0.010934494151194489,-0.05741264208411412,0.037349318953731496
0,7,0.6842494628259114,-0.7028162841285978,0.49902405496686697,0.08611607142857143,0.03200396825396826,0.1447470238095238,0.1593154761904762,0.002349337549736238,0.7282107789533857,1.1115080410590984e-08,1.9776535088693895e-10,383956,0.7388368089584143,-0.39176198980140103,0.8242781166439558,0.7563334419980892,-0.068573278532946,0.17888826581033118,-0.13422726359614023,-0.09115963586458029
0,8,0.6820772896919932,-0.7097912015659469,0.6900062587644372,0.09078373015873016,0.07723710317460318,0.13805059523809524,0.11131944444444444,0.0011115695401657248,0.008730773914143935,6.192672701828129e-08,2.5948764203281276e-05,446717,0.7100447023319945,-0.3764217744508416,0.8648080097286064,0.8461200273366408,0.055720859855347714,0.1105383142555002,-0.14367835054771796,-0.06859575069196405
0,9,0.6869429594704083,-0.7154412014143807,0.5838463699744482,0.09706845238095238,0.10386904761904762,0.16710317460317461,0.13262896825396825,0.00038204135487585614,0.00011083796113658168,1.9629891686585948e-11,2.3293029726585778e-07,509134,0.6153961162173854,-0.32520236825995613,0.8327875471994372,0.8454237021957772,0.07774643116138069,-0.010643818016347728,-0.13702528881153792,-0.10676676133591743
0,10,0.6673561664564269,-0.6841307495321546,0.5989322170083012,0.08631944444444445,0.16669642857142858,0.17268849206349207,0.23306051587301588,0.002274134209798553,2.281766713785692e-11,3.4841688079843954e-12,6.374704115503616e-22,571262,0.5970321137749236,-0.47956142235044147,0.8383659733331233,0.7994312902714906,-0.017295515297911478,-0.036102500192842106,-0.09572727170104497,-0.09002644288688083
0,11,0.6784265073282378,-0.712368270116193,0.7173250205814838,0.1542261904761905,0.1476438492063492,0.16595734126984127,0.12170138888888889,8.455102453485569e-10,5.170751810029322e-09,2.788699499799859e-11,2.8919892120057406e-06,634589,0.7100074237220214,-0.2461277307914164,0.8586744037376938,0.8656435258377897,0.06861242071297359,-0.07634984858710278,-0.1424781086315786,0.03007856293309922
0,12,0.6844255232385227,-0.7075044438242912,0.5503756491733449,0.15638392857142858,0.037043650793650795,0.1503968253968254,0.15160218253968255,4.5706824730835275e-10,0.550674565631977,2.433529831894528e-09,1.7370622059675962e-09,696693,0.5394419356356326,-0.31156149726282695,0.8765227981082102,0.8544346495379828,-0.08566444166712005,0.07178979863839727,-0.001579360278429096,0.05434038606567427
